cycle,scheduled_ns,start_ns,finish_ns,jitter_us,execution_us,response_us,deadline_miss
244,9984866911950,9984866980015,9984867043660,68.065,63.645,131.710,0
245,9984886911950,9984886985887,9984887049585,73.937,63.698,137.635,0
246,9984906911950,9984906982854,9984907046447,70.904,63.593,134.497,0
247,9984926911950,9984926990914,9984927074715,78.964,83.801,162.765,0
248,9984946911950,9984947003036,9984947087307,91.086,84.271,175.357,0
249,9984966911950,9984966989951,9984967073752,78.001,83.801,161.802,0
250,9984986911950,9984986985146,9984987070041,73.196,84.895,158.091,0
251,9985006911950,9985006994092,9985007077893,82.142,83.801,165.943,0
252,9985026911950,9985027037776,9985027122620,125.826,84.844,210.670,0
253,9985046911950,9985046991254,9985047075055,79.304,83.801,163.105,0
254,9985066911950,9985066991814,9985067075615,79.864,83.801,163.665,0
255,9985086911950,9985086985186,9985087070082,73.236,84.896,158.132,0
256,9985106911950,9985106986840,9985107070694,74.890,83.854,158.744,0
257,9985126911950,9985126992504,9985127076306,80.554,83.802,164.356,0
258,9985146911950,9985146994002,9985147077804,82.052,83.802,165.854,0
259,9985166911950,9985166991750,9985167075551,79.800,83.801,163.601,0
260,9985186911950,9985186994497,9985187078299,82.547,83.802,166.349,0
261,9985206911950,9985206993182,9985207077036,81.232,83.854,165.086,0
262,9985226911950,9985226992857,9985227076711,80.907,83.854,164.761,0
263,9985246911950,9985246986073,9985247069927,74.123,83.854,157.977,0
264,9985266911950,9985266990279,9985267074133,78.329,83.854,162.183,0
265,9985286911950,9985286993704,9985287077506,81.754,83.802,165.556,0
266,9985306911950,9985306992962,9985307076764,81.012,83.802,164.814,0
267,9985326911950,9985326992533,9985327076334,80.583,83.801,164.384,0
268,9985346911950,9985346985853,9985347069655,73.903,83.802,157.705,0
269,9985366911950,9985366991101,9985367074954,79.151,83.853,163.004,0
270,9985386911950,9985386990723,9985387074577,78.773,83.854,162.627,0
271,9985406911950,9985406992742,9985407076595,80.792,83.853,164.645,0
272,9985426911950,9985426993041,9985427076895,81.091,83.854,164.945,0
273,9985446911950,9985446990268,9985447074070,78.318,83.802,162.120,0
274,9985466911950,9985466992339,9985467076192,80.389,83.853,164.242,0
275,9985486911950,9985486992586,9985487076440,80.636,83.854,164.490,0
276,9985506911950,9985506989396,9985507073250,77.446,83.854,161.300,0
277,9985526911950,9985526991467,9985527075217,79.517,83.750,163.267,0
278,9985546911950,9985546991298,9985547075047,79.348,83.749,163.097,0
279,9985566911950,9985566993316,9985567077066,81.366,83.750,165.116,0
280,9985586911950,9985586992574,9985587076376,80.624,83.802,164.426,0
281,9985606911950,9985606993135,9985607076884,81.185,83.749,164.934,0
282,9985626911950,9985626989788,9985627073642,77.838,83.854,161.692,0
283,9985646911950,9985646989515,9985647073369,77.565,83.854,161.419,0
284,9985666911950,9985666993096,9985667076898,81.146,83.802,164.948,0
285,9985686911950,9985686992510,9985687076364,80.560,83.854,164.414,0
286,9985706911950,9985706992393,9985707076247,80.443,83.854,164.297,0
287,9985726911950,9985726992068,9985727075870,80.118,83.802,163.920,0
288,9985746911950,9985746986326,9985747070180,74.376,83.854,158.230,0
289,9985766911950,9985766993709,9985767077563,81.759,83.854,165.613,0
290,9985786911950,9985786989165,9985787072967,77.215,83.802,161.017,0
291,9985806911950,9985806992069,9985807075871,80.119,83.802,163.921,0
292,9985826911950,9985827031275,9985827139139,119.325,107.864,227.189,0
293,9985846911950,9985847017668,9985847102043,105.718,84.375,190.093,0
294,9985866911950,9985867035937,9985867146196,123.987,110.259,234.246,0
295,9985886911950,9985886991080,9985887075455,79.130,84.375,163.505,0
296,9985906911950,9985906987838,9985907071744,75.888,83.906,159.794,0
297,9985926911950,9985926986159,9985927070013,74.209,83.854,158.063,0
298,9985946911950,9985946992604,9985947055677,80.654,63.073,143.727,0
299,9985966911950,9985966980665,9985967043529,68.715,62.864,131.579,0
300,9985986911950,9985986980756,9985987043620,68.806,62.864,131.670,0
301,9986006911950,9986006981472,9986007044441,69.522,62.969,132.491,0
302,9986026911950,9986026981616,9986027044480,69.666,62.864,132.530,0
303,9986046911950,9986046986186,9986047069884,74.236,83.698,157.934,0
304,9986066911950,9986066990080,9986067073933,78.130,83.853,161.983,0
305,9986086911950,9986086990015,9986087073816,78.065,83.801,161.866,0
306,9986106911950,9986106989481,9986107073283,77.531,83.802,161.333,0
307,9986126911950,9986126989260,9986127073062,77.310,83.802,161.112,0
308,9986146911950,9986147025028,9986147108778,113.078,83.750,196.828,0
309,9986166911950,9986166991422,9986167075276,79.472,83.854,163.326,0
310,9986186911950,9986186989899,9986187073648,77.949,83.749,161.698,0
311,9986206911950,9986206992178,9986207075979,80.228,83.801,164.029,0
312,9986226911950,9986226993571,9986227077373,81.621,83.802,165.423,0
313,9986246911950,9986246988298,9986247072100,76.348,83.802,160.150,0
314,9986266911950,9986266991983,9986267075733,80.033,83.750,163.783,0
315,9986286911950,9986286987856,9986287071657,75.906,83.801,159.707,0
316,9986306911950,9986306991541,9986307075290,79.591,83.749,163.340,0
317,9986326911950,9986326991893,9986327075642,79.943,83.749,163.692,0
318,9986346911950,9986346991307,9986347075056,79.357,83.749,163.106,0
319,9986366911950,9986366988898,9986367072648,76.948,83.750,160.698,0
320,9986386911950,9986386992948,9986387076697,80.998,83.749,164.747,0
321,9986406911950,9986406988821,9986407072518,76.871,83.697,160.568,0
322,9986426911950,9986426991620,9986427075422,79.670,83.802,163.472,0
323,9986446911950,9986446991607,9986447075409,79.657,83.802,163.459,0
324,9986466911950,9986466988418,9986467072219,76.468,83.801,160.269,0
325,9986486911950,9986486991582,9986487075436,79.632,83.854,163.486,0
326,9986506911950,9986506988705,9986507072506,76.755,83.801,160.556,0
327,9986526911950,9986526992598,9986527076400,80.648,83.802,164.450,0
328,9986546911950,9986546988887,9986547072637,76.937,83.750,160.687,0
329,9986566911950,9986566988979,9986567072780,77.029,83.801,160.830,0
330,9986586911950,9986586991778,9986587075580,79.828,83.802,163.630,0
331,9986606911950,9986606991193,9986607075046,79.243,83.853,163.096,0
332,9986626911950,9986626988940,9986627072690,76.990,83.750,160.740,0
333,9986646911950,9986646991167,9986647074969,79.217,83.802,163.019,0
334,9986666911950,9986666999175,9986667082977,87.225,83.802,171.027,0
335,9986686911950,9986686992131,9986687075881,80.181,83.750,163.931,0
336,9986706911950,9986706991702,9986707075451,79.752,83.749,163.501,0
337,9986726911950,9986726990855,9986727074657,78.905,83.802,162.707,0
338,9986746911950,9986746990686,9986747074384,78.736,83.698,162.434,0
339,9986766911950,9986767018642,9986767102392,106.692,83.750,190.442,0
340,9986786911950,9986786991807,9986787075556,79.857,83.749,163.606,0
341,9986806911950,9986806988252,9986807072054,76.302,83.802,160.104,0
