cycle,scheduled_ns,start_ns,finish_ns,jitter_us,execution_us,response_us,deadline_miss
375,11308621827496,11308621888105,11308621923990,60.609,35.885,96.494,0
376,11308641827496,11308641889205,11308641925090,61.709,35.885,97.594,0
377,11308661827496,11308661889263,11308661925149,61.767,35.886,97.653,0
378,11308681827496,11308681888020,11308681923905,60.524,35.885,96.409,0
379,11308701827496,11308701929484,11308701966307,101.988,36.823,138.811,0
380,11308721827496,11308721897564,11308721933970,70.068,36.406,106.474,0
381,11308741827496,11308741889914,11308741925799,62.418,35.885,98.303,0
382,11308761827496,11308761889973,11308761925910,62.477,35.937,98.414,0
383,11308781827496,11308781889563,11308781925500,62.067,35.937,98.004,0
384,11308801827496,11308801889309,11308801925194,61.813,35.885,97.698,0
385,11308821827496,11308821889159,11308821925044,61.663,35.885,97.548,0
386,11308841827496,11308841889634,11308841925519,62.138,35.885,98.023,0
387,11308861827496,11308861889380,11308861925317,61.884,35.937,97.821,0
388,11308881827496,11308881889543,11308881925480,62.047,35.937,97.984,0
389,11308901827496,11308901889601,11308901925486,62.105,35.885,97.990,0
390,11308921827496,11308921888878,11308921924764,61.382,35.886,97.268,0
391,11308941827496,11308941918364,11308941954509,90.868,36.145,127.013,0
392,11308961827496,11308961893318,11308961929516,65.822,36.198,102.020,0
393,11308981827496,11308981890564,11308981926450,63.068,35.886,98.954,0
394,11309001827496,11309001889269,11309001925206,61.773,35.937,97.710,0
395,11309021827496,11309021889379,11309021925264,61.883,35.885,97.768,0
396,11309041827496,11309041890115,11309041926000,62.619,35.885,98.504,0
397,11309061827496,11309061889236,11309061925121,61.740,35.885,97.625,0
398,11309081827496,11309081889451,11309081925336,61.955,35.885,97.840,0
399,11309101827496,11309101889822,11309101925707,62.326,35.885,98.211,0
400,11309121827496,11309121888786,11309121924672,61.290,35.886,97.176,0
401,11309141827496,11309150015941,11309150051826,8188.445,35.885,8224.330,0
402,11309161827496,11309161889893,11309161925778,62.397,35.885,98.282,0
403,11309181827496,11309181889587,11309181925524,62.091,35.937,98.028,0
404,11309201827496,11309201889229,11309201925114,61.733,35.885,97.618,0
405,11309221827496,11309221889287,11309221925172,61.791,35.885,97.676,0
406,11309241827496,11309241889033,11309241924971,61.537,35.938,97.475,0
407,11309261827496,11309261888363,11309261924300,60.867,35.937,96.804,0
408,11309281827496,11309281888317,11309281924202,60.821,35.885,96.706,0
409,11309301827496,11309301888011,11309301923896,60.515,35.885,96.400,0
410,11309321827496,11309321888434,11309321924319,60.938,35.885,96.823,0
411,11309341827496,11309341888232,11309341924117,60.736,35.885,96.621,0
412,11309361827496,11309361889176,11309361925113,61.680,35.937,97.617,0
413,11309381827496,11309381888662,11309381924547,61.166,35.885,97.051,0
414,11309401827496,11309401888251,11309401924137,60.755,35.886,96.641,0
415,11309421827496,11309421888206,11309421924091,60.710,35.885,96.595,0
416,11309441827496,11309441888420,11309441924306,60.924,35.886,96.810,0
417,11309461827496,11309461888114,11309461924000,60.618,35.886,96.504,0
418,11309481827496,11309481888173,11309481924058,60.677,35.885,96.562,0
419,11309501827496,11309501888283,11309501924221,60.787,35.938,96.725,0
420,11309521827496,11309521889696,11309521925581,62.200,35.885,98.085,0
421,11309541827496,11309541888036,11309541923921,60.540,35.885,96.425,0
422,11309561827496,11309561888303,11309561924188,60.807,35.885,96.692,0
423,11309581827496,11309581888205,11309581924090,60.709,35.885,96.594,0
424,11309601827496,11309601888055,11309601923940,60.559,35.885,96.444,0
425,11309621827496,11309621888062,11309621923947,60.566,35.885,96.451,0
426,11309641827496,11309641888120,11309641924005,60.624,35.885,96.509,0
