cycle,scheduled_ns,start_ns,finish_ns,jitter_us,execution_us,response_us,deadline_miss
617,11398047589375,11398047597868,11398047633753,8.493,35.885,44.378,0
618,11398067589375,11398067597925,11398067633811,8.550,35.886,44.436,0
619,11398087589375,11398087597879,11398087633816,8.504,35.937,44.441,0
620,11398107589375,11398107598092,11398107634030,8.717,35.938,44.655,0
621,11398127589375,11398127598098,11398127633983,8.723,35.885,44.608,0
622,11398147589375,11398147636384,11398147672634,47.009,36.250,83.259,0
623,11398167589375,11398167606806,11398167643056,17.431,36.250,53.681,0
624,11398187589375,11398187598634,11398187634520,9.259,35.886,45.145,0
625,11398207589375,11398207598900,11398207634785,9.525,35.885,45.410,0
626,11398227589375,11398227598593,11398227634582,9.218,35.989,45.207,0
627,11398247589375,11398247598650,11398247634640,9.275,35.990,45.265,0
628,11398267589375,11398267598135,11398267634020,8.760,35.885,44.645,0
629,11398287589375,11398287598349,11398287634286,8.974,35.937,44.911,0
630,11398307589375,11398307598041,11398307633927,8.666,35.886,44.552,0
631,11398327589375,11398327598203,11398327634036,8.828,35.833,44.661,0
632,11398347589375,11398347598469,11398347634406,9.094,35.937,45.031,0
633,11398367589375,11398367598162,11398367634047,8.787,35.885,44.672,0
634,11398387589375,11398387597959,11398387633896,8.584,35.937,44.521,0
635,11398407589375,11398407600047,11398407636037,10.672,35.990,46.662,0
636,11398427589375,11398427598073,11398427634011,8.698,35.938,44.636,0
637,11398447589375,11398447597922,11398447633808,8.547,35.886,44.433,0
638,11398467589375,11398467597876,11398467633813,8.501,35.937,44.438,0
639,11398487589375,11398487598610,11398487634495,9.235,35.885,45.120,0
640,11398507589375,11398507598616,11398507634501,9.241,35.885,45.126,0
641,11398527589375,11398527599350,11398527635235,9.975,35.885,45.860,0
642,11398547589375,11398547597793,11398547633678,8.418,35.885,44.303,0
643,11398567589375,11398567597798,11398567633683,8.423,35.885,44.308,0
644,11398587589375,11398587597804,11398587633741,8.429,35.937,44.366,0
645,11398607589375,11398607603226,11398607639111,13.851,35.885,49.736,0
646,11398627589375,11398627597866,11398627633752,8.491,35.886,44.377,0
647,11398647589375,11398647598080,11398647633965,8.705,35.885,44.590,0
648,11398667589375,11398667597721,11398667633606,8.346,35.885,44.231,0
649,11398687589375,11398687597726,11398687633611,8.351,35.885,44.236,0
650,11398707589375,11398707597888,11398707633825,8.513,35.937,44.450,0
651,11398727589375,11398727597997,11398727633882,8.622,35.885,44.507,0
652,11398747589375,11398747597950,11398747633836,8.575,35.886,44.461,0
653,11398767589375,11398767598164,11398767634049,8.789,35.885,44.674,0
654,11398787589375,11398787597753,11398787633638,8.378,35.885,44.263,0
655,11398807589375,11398807597862,11398807633747,8.487,35.885,44.372,0
656,11398827589375,11398827597868,11398827633753,8.493,35.885,44.378,0
657,11398847589375,11398847597925,11398847633810,8.550,35.885,44.435,0
658,11398867589375,11398867597826,11398867633711,8.451,35.885,44.336,0
659,11398887589375,11398887597936,11398887633821,8.561,35.885,44.446,0
660,11398907589375,11398907597733,11398907633618,8.358,35.885,44.243,0
661,11398927589375,11398927597686,11398927633571,8.311,35.885,44.196,0
662,11398947589375,11398947606545,11398947642795,17.170,36.250,53.420,0
663,11398967589375,11398967599207,11398967635092,9.832,35.885,45.717,0
664,11398987589375,11398987598223,11398987634108,8.848,35.885,44.733,0
665,11399007589375,11399007598020,11399007633905,8.645,35.885,44.530,0
666,11399027589375,11399027598129,11399027634014,8.754,35.885,44.639,0
667,11399047589375,11399047597978,11399047633863,8.603,35.885,44.488,0
668,11399067589375,11399067598036,11399067633921,8.661,35.885,44.546,0
669,11399087589375,11399087602312,11399087638405,12.937,36.093,49.030,0
670,11399107589375,11399107598723,11399107634609,9.348,35.886,45.234,0
671,11399127589375,11399127598052,11399127633937,8.677,35.885,44.562,0
672,11399147589375,11399147597901,11399147633786,8.526,35.885,44.411,0
673,11399167589375,11399167623583,11399167680354,34.208,56.771,90.979,0
674,11399187589375,11399187615359,11399187651765,25.984,36.406,62.390,0
675,11399207589375,11399207599115,11399207635416,9.740,36.301,46.041,0
676,11399227589375,11399227599901,11399227635786,10.526,35.885,46.411,0
677,11399247589375,11399247598136,11399247634021,8.761,35.885,44.646,0
678,11399267589375,11399267598401,11399267634287,9.026,35.886,44.912,0
679,11399287589375,11399287598094,11399287633979,8.719,35.885,44.604,0
680,11399307589375,11399307598047,11399307633985,8.672,35.938,44.610,0
681,11399327589375,11399327598365,11399327634251,8.990,35.886,44.876,0
682,11399347589375,11399347598058,11399347633995,8.683,35.937,44.620,0
683,11399367589375,11399367598168,11399367634053,8.793,35.885,44.678,0
684,11399387589375,11399387598017,11399387633850,8.642,35.833,44.475,0
685,11399407589375,11399407597918,11399407633803,8.543,35.885,44.428,0
686,11399427589375,11399427598079,11399427633913,8.704,35.834,44.538,0
687,11399447589375,11399447598085,11399447633970,8.710,35.885,44.595,0
688,11399467589375,11399467598142,11399467634079,8.767,35.937,44.704,0
689,11399487589375,11399487597991,11399487633824,8.616,35.833,44.449,0
690,11399507589375,11399507598205,11399507634090,8.830,35.885,44.715,0
691,11399527589375,11399527598471,11399527634356,9.096,35.885,44.981,0
692,11399547589375,11399547598163,11399547634049,8.788,35.886,44.674,0
693,11399567589375,11399567600460,11399567636346,11.085,35.886,46.971,0
694,11399587589375,11399587597809,11399587633747,8.434,35.938,44.372,0
695,11399607589375,11399607597867,11399607633752,8.492,35.885,44.377,0
696,11399627589375,11399627598393,11399627634435,9.018,36.042,45.060,0
697,11399647589375,11399647598034,11399647633919,8.659,35.885,44.544,0
698,11399667589375,11399667597727,11399667633612,8.352,35.885,44.237,0
699,11399687589375,11399687598201,11399687634086,8.826,35.885,44.711,0
700,11399707589375,11399707597789,11399707633727,8.414,35.938,44.352,0
701,11399727589375,11399727599878,11399727635763,10.503,35.885,46.388,0
702,11399747589375,11399747597956,11399747633841,8.581,35.885,44.466,0
703,11399767589375,11399767598274,11399767634159,8.899,35.885,44.784,0
704,11399787589375,11399787598123,11399787634060,8.748,35.937,44.685,0
705,11399807589375,11399807598285,11399807634170,8.910,35.885,44.795,0
706,11399827589375,11399827597873,11399827633759,8.498,35.886,44.384,0
707,11399847589375,11399847597827,11399847633712,8.452,35.885,44.337,0
708,11399867589375,11399867597884,11399867633769,8.509,35.885,44.394,0
709,11399887589375,11399887597889,11399887633775,8.514,35.886,44.400,0
710,11399907589375,11399907597791,11399907633676,8.416,35.885,44.301,0
711,11399927589375,11399927598160,11399927634046,8.785,35.886,44.671,0
712,11399947589375,11399947606082,11399947642436,16.707,36.354,53.061,0
713,11399967589375,11399967599525,11399967635410,10.150,35.885,46.035,0
714,11399987589375,11399987598333,11399987634218,8.958,35.885,44.843,0
715,11400007589375,11400007598911,11400007634796,9.536,35.885,45.421,0
716,11400027589375,11400027616572,11400027652770,27.197,36.198,63.395,0
717,11400047589375,11400047599078,11400047635067,9.703,35.989,45.692,0
718,11400067589375,11400067598041,11400067633927,8.666,35.886,44.552,0
719,11400087589375,11400087597942,11400087633828,8.567,35.886,44.453,0
720,11400107589375,11400107597948,11400107633833,8.573,35.885,44.458,0
721,11400127589375,11400127597953,11400127633838,8.578,35.885,44.463,0
722,11400147589375,11400147598011,11400147633896,8.636,35.885,44.521,0
723,11400167589375,11400167598328,11400167634214,8.953,35.886,44.839,0
724,11400187589375,11400187622396,11400187658646,33.021,36.250,69.271,0
725,11400207589375,11400207632089,11400207668547,42.714,36.458,79.172,0
726,11400227589375,11400227607042,11400227643396,17.667,36.354,54.021,0
727,11400247589375,11400247598610,11400247634495,9.235,35.885,45.120,0
728,11400267589375,11400267598303,11400267634292,8.928,35.989,44.917,0
729,11400287589375,11400287598204,11400287634089,8.829,35.885,44.714,0
730,11400307589375,11400307598053,11400307633938,8.678,35.885,44.563,0
731,11400327589375,11400327598058,11400327633944,8.683,35.886,44.569,0
732,11400347589375,11400347598012,11400347633897,8.637,35.885,44.522,0
733,11400367589375,11400367598121,11400367634006,8.746,35.885,44.631,0
734,11400387589375,11400387597970,11400387633855,8.595,35.885,44.480,0
735,11400407589375,11400407598757,11400407634642,9.382,35.885,45.267,0
736,11400427589375,11400427597981,11400427633918,8.606,35.937,44.543,0
737,11400447589375,11400447597778,11400447633663,8.403,35.885,44.288,0
738,11400467589375,11400467597939,11400467633824,8.564,35.885,44.449,0
739,11400487589375,11400487598049,11400487633934,8.674,35.885,44.559,0
740,11400507589375,11400507598054,11400507633939,8.679,35.885,44.564,0
741,11400527589375,11400527598320,11400527634205,8.945,35.885,44.830,0
742,11400547589375,11400547598481,11400547634419,9.106,35.938,45.044,0
743,11400567589375,11400567598487,11400567634424,9.112,35.937,45.049,0
744,11400587589375,11400587598544,11400587634429,9.169,35.885,45.054,0
745,11400607589375,11400607597924,11400607633810,8.549,35.886,44.435,0
