cycle,scheduled_ns,start_ns,finish_ns,jitter_us,execution_us,response_us,deadline_miss
820,10502140387628,10502140410071,10502140493873,22.443,83.802,106.245,0
821,10502160387628,10502160409583,10502160493332,21.955,83.749,105.704,0
822,10502180387628,10502180409199,10502180493001,21.571,83.802,105.373,0
823,10502200387628,10502200409179,10502200492981,21.551,83.802,105.353,0
824,10502220387628,10502220441660,10502220526087,54.032,84.427,138.459,0
825,10502240387628,10502240425963,10502240498515,38.335,72.552,110.887,0
826,10502260387628,10502260420059,10502260492662,32.431,72.603,105.034,0
827,10502280387628,10502280401341,10502280473112,13.713,71.771,85.484,0
828,10502300387628,10502300401530,10502300473301,13.902,71.771,85.673,0
829,10502320387628,10502320400886,10502320472604,13.258,71.718,84.976,0
830,10502340387628,10502340400762,10502340472585,13.134,71.823,84.957,0
831,10502360387628,10502360399962,10502360471732,12.334,71.770,84.104,0
832,10502380387628,10502380400567,10502380472390,12.939,71.823,84.762,0
833,10502400387628,10502400400391,10502400472162,12.763,71.771,84.534,0
834,10502420387628,10502420400476,10502420472299,12.848,71.823,84.671,0
835,10502440387628,10502440403061,10502440486811,15.433,83.750,99.183,0
836,10502460387628,10502460407885,10502460491635,20.257,83.750,104.007,0
837,10502480387628,10502480407345,10502480491147,19.717,83.802,103.519,0
838,10502500387628,10502500407690,10502500491544,20.062,83.854,103.916,0
839,10502520387628,10502520410796,10502520494545,23.168,83.749,106.917,0
840,10502540387628,10502540402860,10502540486661,15.232,83.801,99.033,0
841,10502560387628,10502560407424,10502560491225,19.796,83.801,103.597,0
842,10502580387628,10502580409748,10502580493498,22.120,83.750,105.870,0
843,10502600387628,10502600408999,10502600492801,21.371,83.802,105.173,0
844,10502620387628,10502620409344,10502620493146,21.716,83.802,105.518,0
845,10502640387628,10502640419898,10502640503700,32.270,83.802,116.072,0
846,10502660387628,10502660412066,10502660495868,24.438,83.802,108.240,0
847,10502680387628,10502680409234,10502680493036,21.606,83.802,105.408,0
848,10502700387628,10502700409319,10502700493121,21.691,83.802,105.493,0
849,10502720387628,10502720409716,10502720493466,22.088,83.750,105.838,0
